restaurantNumber,restaurantName,address,storeHours
547,Hillside,"515 N Hillside St  Wichita, KS 67214-4909 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
3508,21st & Amidon,"2121 N Amidon Ave  Wichita, KS 67203-2116 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
4018,Pawnee & Seneca,"2439 S Seneca St  Wichita, KS 67217-2801 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
1302,Wichita East,"535 S Rock Rd  Wichita, KS 67207-2365 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
1952,Maple & Ridge,"7130 W Maple St Ste 100  Wichita, KS 67209-2191 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
546,Rock Road,"3015 N Rock Rd  Wichita, KS 67226-1310 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
3989,Greenwich Rd,"2608 N Greenwich Ct  Wichita, KS 67226-8226 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
422,New Market,"2241 N Maize Rd Ste 111  Wichita, KS 67205-7340 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
2613,Derby Marketplace,"1700 N Rock Rd Ste 300  Derby, KS 67037-3777 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
3193,Salina,"2375 S 9th St Ste C  Salina, KS 67401-7503 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
1161,OSU-Stillwater,"415 E Hall of Fame Ave  Stillwater, OK 74075-5423 US","Saturday: 10:45:00 - 23:00:00
Sunday: 10:45:00 - 23:00:00
Monday: 10:45:00 - 23:00:00
Tuesday: 10:45:00 - 23:00:00
Wednesday: 10:45:00 - 23:00:00
Thursday: 10:45:00 - 23:00:00
Friday: 10:45:00 - 23:00:00"
287,Manhattan KS,"606 N Manhattan Ave  Manhattan, KS 66502-5334 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
836,Wanamaker,"2040 SW Wanamaker Rd Ste 103  Topeka, KS 66604-3872 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
4205,Owasso II,"11320 E 96TH STREET N  Owasso, OK 74055 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
4107,Topeka - 29th St,"2001 SE 28th St.  Topeka, KS 66605 US","Saturday: 10:45:00 - 22:00:00
Sunday: 10:45:00 - 22:00:00
Monday: 10:45:00 - 22:00:00
Tuesday: 10:45:00 - 22:00:00
Wednesday: 10:45:00 - 22:00:00
Thursday: 10:45:00 - 22:00:00
Friday: 10:45:00 - 22:00:00"
1336,Cherry Street 2,"1623 E 15th St  Tulsa, OK 74120-6044 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
4375,North Topeka,"2014 NW Topeka Blvd  Topeka, KS 66608 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
2141,Tulsa Promenade,"5730 E 41st St  Tulsa, OK 74135-5613 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
2155,61st & Yale,"6060 S Yale Ave  Tulsa, OK 74135-7412 US","Saturday: 10:45:00 - 22:30:00
Sunday: 10:45:00 - 22:30:00
Monday: 10:45:00 - 22:30:00
Tuesday: 10:45:00 - 22:30:00
Wednesday: 10:45:00 - 22:30:00
Thursday: 10:45:00 - 22:30:00
Friday: 10:45:00 - 22:30:00"
